Username,Repo_Name,Repo_Url,Stars
mrdoob,three.js,https://www.github.com/mrdoob/three.js,80200
libgdx,libgdx,https://www.github.com/libgdx/libgdx,19800
pmndrs,react-three-fiber,https://www.github.com/pmndrs/react-three-fiber,17200
BabylonJS,Babylon.js,https://www.github.com/BabylonJS/Babylon.js,16100
aframevr,aframe,https://www.github.com/aframevr/aframe,13900
ssloy,tinyrenderer,https://www.github.com/ssloy/tinyrenderer,13000
lettier,3d-game-shaders-for-beginners,https://www.github.com/lettier/3d-game-shaders-for-beginners,12400
FreeCAD,FreeCAD,https://www.github.com/FreeCAD/FreeCAD,10900
metafizzy,zdog,https://www.github.com/metafizzy/zdog,9100
CesiumGS,cesium,https://www.github.com/CesiumGS/cesium,8400
timzhang642,3D-Machine-Learning,https://www.github.com/timzhang642/3D-Machine-Learning,7700
a1studmuffin,SpaceshipGenerator,https://www.github.com/a1studmuffin/SpaceshipGenerator,7100
isl-org,Open3D,https://www.github.com/isl-org/Open3D,6400
blender,blender,https://www.github.com/blender/blender,5100
domlysz,BlenderGIS,https://www.github.com/domlysz/BlenderGIS,4900
spritejs,spritejs,https://www.github.com/spritejs/spritejs,4800
openscad,openscad,https://www.github.com/openscad/openscad,4700
tensorspace-team,tensorspace,https://www.github.com/tensorspace-team/tensorspace,4600
jagenjo,webglstudio.js,https://www.github.com/jagenjo/webglstudio.js,4600
YadiraF,PRNet,https://www.github.com/YadiraF/PRNet,4600
AaronJackson,vrn,https://www.github.com/AaronJackson/vrn,4400
ssloy,tinyraytracer,https://www.github.com/ssloy/tinyraytracer,4100
google,model-viewer,https://www.github.com/google/model-viewer,4100
mosra,magnum,https://www.github.com/mosra/magnum,3800
gfxfundamentals,webgl-fundamentals,https://www.github.com/gfxfundamentals/webgl-fundamentals,3500
FyroxEngine,Fyrox,https://www.github.com/FyroxEngine/Fyrox,3500
tengbao,vanta,https://www.github.com/tengbao/vanta,3300
cleardusk,3DDFA,https://www.github.com/cleardusk/3DDFA,3200
jasonlong,isometric-contributions,https://www.github.com/jasonlong/isometric-contributions,3100
cnr-isti-vclab,meshlab,https://www.github.com/cnr-isti-vclab/meshlab,2800
