Username,Repo_Name,Repo_Url,Stars
public-apis,public-apis,https://www.github.com/public-apis/public-apis,80200
neovim,neovim,https://www.github.com/neovim/neovim,19800
strapi,strapi,https://www.github.com/strapi/strapi,17200
tiangolo,fastapi,https://www.github.com/tiangolo/fastapi,16100
hoppscotch,hoppscotch,https://www.github.com/hoppscotch/hoppscotch,13900
slatedocs,slate,https://www.github.com/slatedocs/slate,13000
hasura,graphql-engine,https://www.github.com/hasura/graphql-engine,12400
YMFE,yapi,https://www.github.com/YMFE/yapi,10900
ccxt,ccxt,https://www.github.com/ccxt/ccxt,9100
Binaryify,NeteaseCloudMusicApi,https://www.github.com/Binaryify/NeteaseCloudMusicApi,8400
encode,django-rest-framework,https://www.github.com/encode/django-rest-framework,7700
littlecodersh,ItChat,https://www.github.com/littlecodersh/ItChat,7100
paularmstrong,normalizr,https://www.github.com/paularmstrong/normalizr,6400
Kong,insomnia,https://www.github.com/Kong/insomnia,5100
FallibleInc,security-guide-for-developers,https://www.github.com/FallibleInc/security-guide-for-developers,4900
microsoft,api-guidelines,https://www.github.com/microsoft/api-guidelines,4800
pubkey,rxdb,https://www.github.com/pubkey/rxdb,4700
shieldfy,API-Security-Checklist,https://www.github.com/shieldfy/API-Security-Checklist,4600
directus,directus,https://www.github.com/directus/directus,4600
ChainSafe,web3.js,https://www.github.com/ChainSafe/web3.js,4600
learn-anything,learn-anything,https://www.github.com/learn-anything/learn-anything,4400
youfou,wxpy,https://www.github.com/youfou/wxpy,4100
jsdoc,jsdoc,https://www.github.com/jsdoc/jsdoc,4100
BrainJS,brain.js,https://www.github.com/BrainJS/brain.js,3800
fangzesheng,free-api,https://www.github.com/fangzesheng/free-api,3500
OpenAPITools,openapi-generator,https://www.github.com/OpenAPITools/openapi-generator,3500
graphile,postgraphile,https://www.github.com/graphile/postgraphile,3300
go-chi,chi,https://www.github.com/go-chi/chi,3200
postmanlabs,httpbin,https://www.github.com/postmanlabs/httpbin,3100
star7th,showdoc,https://www.github.com/star7th/showdoc,2800
