Username,Repo_Name,Repo_Url,Stars
aspnetboilerplate,aspnetboilerplate,https://www.github.com/aspnetboilerplate/aspnetboilerplate,80200
dotnet,AspNetCore.Docs,https://www.github.com/dotnet/AspNetCore.Docs,19800
bitwarden,server,https://www.github.com/bitwarden/server,17200
nopSolutions,nopCommerce,https://www.github.com/nopSolutions/nopCommerce,16100
ElectronNET,Electron.NET,https://www.github.com/ElectronNET/Electron.NET,13900
RicoSuter,NSwag,https://www.github.com/RicoSuter/NSwag,13000
thangchung,clean-code-dotnet,https://www.github.com/thangchung/clean-code-dotnet,12400
JimBobSquarePants,ImageProcessor,https://www.github.com/JimBobSquarePants/ImageProcessor,10900
smartstore,SmartStoreNET,https://www.github.com/smartstore/SmartStoreNET,9100
dotnet,aspnet-api-versioning,https://www.github.com/dotnet/aspnet-api-versioning,8400
loic-sharma,BaGet,https://www.github.com/loic-sharma/BaGet,7700
mjebrahimi,Awesome-Microservices-DotNet,https://www.github.com/mjebrahimi/Awesome-Microservices-DotNet,7100
TrilonIO,aspnetcore-angular-universal,https://www.github.com/TrilonIO/aspnetcore-angular-universal,6400
TrilonIO,aspnetcore-Vue-starter,https://www.github.com/TrilonIO/aspnetcore-Vue-starter,5100
lampo1024,DncZeus,https://www.github.com/lampo1024/DncZeus,4900
MarimerLLC,csla,https://www.github.com/MarimerLLC/csla,4800
riganti,dotvvm,https://www.github.com/riganti/dotvvm,4700
cornflourblue,aspnet-core-3-jwt-authentication-api,https://www.github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,4600
json-api-dotnet,JsonApiDotNetCore,https://www.github.com/json-api-dotnet/JsonApiDotNetCore,4600
antonioCoco,SharPyShell,https://www.github.com/antonioCoco/SharPyShell,4600
chsakell,mvcarchitecture,https://www.github.com/chsakell/mvcarchitecture,4400
brthor,Gofer.NET,https://www.github.com/brthor/Gofer.NET,4100
YAFNET,YAFNET,https://www.github.com/YAFNET/YAFNET,4100
IvanJosipovic,BlazorTable,https://www.github.com/IvanJosipovic/BlazorTable,3800
Maarten88,rrod,https://www.github.com/Maarten88/rrod,3500
SapphireDb,SapphireDb,https://www.github.com/SapphireDb/SapphireDb,3500
Taritsyn,WebMarkupMin,https://www.github.com/Taritsyn/WebMarkupMin,3300
chsakell,aspnet-core-identity,https://www.github.com/chsakell/aspnet-core-identity,3200
EEParker,aspnetcore-vueclimiddleware,https://www.github.com/EEParker/aspnetcore-vueclimiddleware,3100
smartstore,Smartstore,https://www.github.com/smartstore/Smartstore,2800
