Username,Repo_Name,Repo_Url,Stars
jwasham,coding-interview-university,https://www.github.com/jwasham/coding-interview-university,80200
CyC2018,CS-Notes,https://www.github.com/CyC2018/CS-Notes,19800
trekhleb,javascript-algorithms,https://www.github.com/trekhleb/javascript-algorithms,17200
TheAlgorithms,Python,https://www.github.com/TheAlgorithms/Python,16100
yangshun,tech-interview-handbook,https://www.github.com/yangshun/tech-interview-handbook,13900
kdn251,interviews,https://www.github.com/kdn251/interviews,13000
azl397985856,leetcode,https://www.github.com/azl397985856/leetcode,12400
TheAlgorithms,Java,https://www.github.com/TheAlgorithms/Java,10900
algorithm-visualizer,algorithm-visualizer,https://www.github.com/algorithm-visualizer/algorithm-visualizer,9100
crossoverJie,JCSprout,https://www.github.com/crossoverJie/JCSprout,8400
donnemartin,interactive-coding-challenges,https://www.github.com/donnemartin/interactive-coding-challenges,7700
youngyangyang04,leetcode-master,https://www.github.com/youngyangyang04/leetcode-master,7100
halfrost,LeetCode-Go,https://www.github.com/halfrost/LeetCode-Go,6400
huihut,interview,https://www.github.com/huihut/interview,5100
keon,algorithms,https://www.github.com/keon/algorithms,4900
trekhleb,homemade-machine-learning,https://www.github.com/trekhleb/homemade-machine-learning,4800
TheAlgorithms,Javascript,https://www.github.com/TheAlgorithms/Javascript,4700
TheAlgorithms,C-Plus-Plus,https://www.github.com/TheAlgorithms/C-Plus-Plus,4600
mxgmn,WaveFunctionCollapse,https://www.github.com/mxgmn/WaveFunctionCollapse,4600
AtsushiSakai,PythonRobotics,https://www.github.com/AtsushiSakai/PythonRobotics,4600
greyireland,algorithm-pattern,https://www.github.com/greyireland/algorithm-pattern,4400
OpenGenus,cosmos,https://www.github.com/OpenGenus/cosmos,4100
williamfiset,Algorithms,https://www.github.com/williamfiset/Algorithms,4100
halfrost,Halfrost-Field,https://www.github.com/halfrost/Halfrost-Field,3800
apachecn,apachecn-algo-zh,https://www.github.com/apachecn/apachecn-algo-zh,3500
lnishan,awesome-competitive-programming,https://www.github.com/lnishan/awesome-competitive-programming,3500
Blankj,awesome-java-leetcode,https://www.github.com/Blankj/awesome-java-leetcode,3300
jeffgerickson,algorithms,https://www.github.com/jeffgerickson/algorithms,3200
mgechev,javascript-algorithms,https://www.github.com/mgechev/javascript-algorithms,3100
LeetCode-OpenSource,vscode-leetcode,https://www.github.com/LeetCode-OpenSource/vscode-leetcode,2800
