Username,Repo_Name,Repo_Url,Stars
serverless,serverless,https://www.github.com/serverless/serverless,80200
localstack,localstack,https://www.github.com/localstack/localstack,19800
donnemartin,data-science-ipython-notebooks,https://www.github.com/donnemartin/data-science-ipython-notebooks,17200
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,16100
ramitsurana,awesome-kubernetes,https://www.github.com/ramitsurana/awesome-kubernetes,13900
aws,aws-cli,https://www.github.com/aws/aws-cli,13000
kubernetes-sigs,kubespray,https://www.github.com/kubernetes-sigs/kubespray,12400
pulumi,pulumi,https://www.github.com/pulumi/pulumi,10900
donnemartin,awesome-aws,https://www.github.com/donnemartin/awesome-aws,9100
apereo,cas,https://www.github.com/apereo/cas,8400
mozilla,sops,https://www.github.com/mozilla/sops,7700
aws,chalice,https://www.github.com/aws/chalice,7100
aws-amplify,amplify-js,https://www.github.com/aws-amplify/amplify-js,6400
apex,up,https://www.github.com/apex/up,5100
aws,serverless-application-model,https://www.github.com/aws/serverless-application-model,4900
aws,aws-cdk,https://www.github.com/aws/aws-cdk,4800
caprover,caprover,https://www.github.com/caprover/caprover,4700
google,go-cloud,https://www.github.com/google/go-cloud,4600
angristan,openvpn-install,https://www.github.com/angristan/openvpn-install,4600
aws,aws-sdk-go,https://www.github.com/aws/aws-sdk-go,4600
boto,boto3,https://www.github.com/boto/boto3,4400
hashicorp,terraform-provider-aws,https://www.github.com/hashicorp/terraform-provider-aws,4100
GoogleCloudPlatform,terraformer,https://www.github.com/GoogleCloudPlatform/terraformer,4100
aws,aws-sdk-js,https://www.github.com/aws/aws-sdk-js,3800
aws,amazon-sagemaker-examples,https://www.github.com/aws/amazon-sagemaker-examples,3500
awslabs,aws-shell,https://www.github.com/awslabs/aws-shell,3500
99designs,aws-vault,https://www.github.com/99designs/aws-vault,3300
gruntwork-io,terratest,https://www.github.com/gruntwork-io/terratest,3200
aws,aws-sam-cli,https://www.github.com/aws/aws-sam-cli,3100
gruntwork-io,terragrunt,https://www.github.com/gruntwork-io/terragrunt,2800
