Username,Repo_Name,Repo_Url,Stars
flutter,flutter,https://www.github.com/flutter/flutter,80200
justjavac,free-programming-books-zh_CN,https://www.github.com/justjavac/free-programming-books-zh_CN,19800
Genymobile,scrcpy,https://www.github.com/Genymobile/scrcpy,17200
Hack-with-Github,Awesome-Hacking,https://www.github.com/Hack-with-Github/Awesome-Hacking,16100
google,material-design-icons,https://www.github.com/google/material-design-icons,13900
wasabeef,awesome-android-ui,https://www.github.com/wasabeef/awesome-android-ui,13000
square,okhttp,https://www.github.com/square/okhttp,12400
android,architecture-samples,https://www.github.com/android/architecture-samples,10900
Solido,awesome-flutter,https://www.github.com/Solido/awesome-flutter,9100
square,retrofit,https://www.github.com/square/retrofit,8400
PhilJay,MPAndroidChart,https://www.github.com/PhilJay/MPAndroidChart,7700
fastlane,fastlane,https://www.github.com/fastlane/fastlane,7100
airbnb,lottie-android,https://www.github.com/airbnb/lottie-android,6400
shadowsocks,shadowsocks-android,https://www.github.com/shadowsocks/shadowsocks-android,5100
bumptech,glide,https://www.github.com/bumptech/glide,4900
Trinea,android-open-project,https://www.github.com/Trinea/android-open-project,4800
Blankj,AndroidUtilCode,https://www.github.com/Blankj/AndroidUtilCode,4700
xitu,gold-miner,https://www.github.com/xitu/gold-miner,4600
bilibili,ijkplayer,https://www.github.com/bilibili/ijkplayer,4600
skylot,jadx,https://www.github.com/skylot/jadx,4600
zxing,zxing,https://www.github.com/zxing/zxing,4400
laurent22,joplin,https://www.github.com/laurent22/joplin,4100
codepath,android_guides,https://www.github.com/codepath/android_guides,4100
square,leakcanary,https://www.github.com/square/leakcanary,3800
alibaba,fastjson,https://www.github.com/alibaba/fastjson,3500
scwang90,SmartRefreshLayout,https://www.github.com/scwang90/SmartRefreshLayout,3500
CymChad,BaseRecyclerViewAdapterHelper,https://www.github.com/CymChad/BaseRecyclerViewAdapterHelper,3300
react-native-elements,react-native-elements,https://www.github.com/react-native-elements/react-native-elements,3200
google,iosched,https://www.github.com/google/iosched,3100
NativeScript,NativeScript,https://www.github.com/NativeScript/NativeScript,2800
