Username,Repo_Name,Repo_Url,Stars
babel,babel,https://www.github.com/babel/babel,80200
nylas,nylas-mail,https://www.github.com/nylas/nylas-mail,19800
kriasoft,react-starter-kit,https://www.github.com/kriasoft/react-starter-kit,17200
swc-project,swc,https://www.github.com/swc-project/swc,16100
avajs,ava,https://www.github.com/avajs/ava,13900
electron-react-boilerplate,electron-react-boilerplate,https://www.github.com/electron-react-boilerplate/electron-react-boilerplate,13000
SimulatedGREG,electron-vue,https://www.github.com/SimulatedGREG/electron-vue,12400
grab,front-end-guide,https://www.github.com/grab/front-end-guide,10900
jamiebuilds,babel-handbook,https://www.github.com/jamiebuilds/babel-handbook,9100
grommet,grommet,https://www.github.com/grommet/grommet,8400
developit,htm,https://www.github.com/developit/htm,7700
angular-fullstack,generator-angular-fullstack,https://www.github.com/angular-fullstack/generator-angular-fullstack,7100
ben-rogerson,twin.macro,https://www.github.com/ben-rogerson/twin.macro,6400
documentationjs,documentation,https://www.github.com/documentationjs/documentation,5100
insin,nwb,https://www.github.com/insin/nwb,4900
egoist,poi,https://www.github.com/egoist/poi,4800
thinkjs,thinkjs,https://www.github.com/thinkjs/thinkjs,4700
transitive-bullshit,create-react-library,https://www.github.com/transitive-bullshit/create-react-library,4600
babel,babel-loader,https://www.github.com/babel/babel-loader,4600
fkling,astexplorer,https://www.github.com/fkling/astexplorer,4600
duxianwei520,react,https://www.github.com/duxianwei520/react,4400
jaredpalmer,backpack,https://www.github.com/jaredpalmer/backpack,4100
babel,minify,https://www.github.com/babel/minify,4100
tleunen,babel-plugin-module-resolver,https://www.github.com/tleunen/babel-plugin-module-resolver,3800
thx,gogocode,https://www.github.com/thx/gogocode,3500
andywer,webpack-blocks,https://www.github.com/andywer/webpack-blocks,3500
babel,babel-eslint,https://www.github.com/babel/babel-eslint,3300
kunalkapadia,express-mongoose-es6-rest-api,https://www.github.com/kunalkapadia/express-mongoose-es6-rest-api,3200
privatenumber,esbuild-loader,https://www.github.com/privatenumber/esbuild-loader,3100
uidotdev,react-course,https://www.github.com/uidotdev/react-course,2800
