Username,Repo_Name,Repo_Url,Stars
jlevy,the-art-of-command-line,https://www.github.com/jlevy/the-art-of-command-line,80200
nvm-sh,nvm,https://www.github.com/nvm-sh/nvm,19800
junegunn,fzf,https://www.github.com/junegunn/fzf,17200
dylanaraps,pure-bash-bible,https://www.github.com/dylanaraps/pure-bash-bible,16100
google,zx,https://www.github.com/google/zx,13900
koalaman,shellcheck,https://www.github.com/koalaman/shellcheck,13000
mathiasbynens,dotfiles,https://www.github.com/mathiasbynens/dotfiles,12400
LeCoupa,awesome-cheatsheets,https://www.github.com/LeCoupa/awesome-cheatsheets,10900
acmesh-official,acme.sh,https://www.github.com/acmesh-official/acme.sh,9100
starship,starship,https://www.github.com/starship/starship,8400
alebcay,awesome-shell,https://www.github.com/alebcay/awesome-shell,7700
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,7100
Nyr,openvpn-install,https://www.github.com/Nyr/openvpn-install,6400
dylanaraps,neofetch,https://www.github.com/dylanaraps/neofetch,5100
rbenv,rbenv,https://www.github.com/rbenv/rbenv,4900
powerline,powerline,https://www.github.com/powerline/powerline,4800
shelljs,shelljs,https://www.github.com/shelljs/shelljs,4700
withfig,autocomplete,https://www.github.com/withfig/autocomplete,4600
Bash-it,bash-it,https://www.github.com/Bash-it/bash-it,4600
faressoft,terminalizer,https://www.github.com/faressoft/terminalizer,4600
jessfraz,dockerfiles,https://www.github.com/jessfraz/dockerfiles,4400
denisidoro,navi,https://www.github.com/denisidoro/navi,4100
codota,TabNine,https://www.github.com/codota/TabNine,4100
rgcr,m-cli,https://www.github.com/rgcr/m-cli,3800
alexanderepstein,Bash-Snippets,https://www.github.com/alexanderepstein/Bash-Snippets,3500
direnv,direnv,https://www.github.com/direnv/direnv,3500
kanaka,mal,https://www.github.com/kanaka/mal,3300
skywind3000,awesome-cheatsheets,https://www.github.com/skywind3000/awesome-cheatsheets,3200
carlospolop,PEASS-ng,https://www.github.com/carlospolop/PEASS-ng,3100
angristan,openvpn-install,https://www.github.com/angristan/openvpn-install,2800
