Username,Repo_Name,Repo_Url,Stars
bitcoin,bitcoin,https://www.github.com/bitcoin/bitcoin,80200
ccxt,ccxt,https://www.github.com/ccxt/ccxt,19800
HelloZeroNet,ZeroNet,https://www.github.com/HelloZeroNet/ZeroNet,17200
freqtrade,freqtrade,https://www.github.com/freqtrade/freqtrade,16100
askmike,gekko,https://www.github.com/askmike/gekko,13900
bbfamily,abu,https://www.github.com/bbfamily/abu,13000
solana-labs,solana,https://www.github.com/solana-labs/solana,12400
lbryio,lbry-sdk,https://www.github.com/lbryio/lbry-sdk,10900
dvf,blockchain,https://www.github.com/dvf/blockchain,9100
yeasy,blockchain_guide,https://www.github.com/yeasy/blockchain_guide,8400
lightningnetwork,lnd,https://www.github.com/lightningnetwork/lnd,7700
spesmilo,electrum,https://www.github.com/spesmilo/electrum,7100
butor,blackbird,https://www.github.com/butor/blackbird,6400
btcsuite,btcd,https://www.github.com/btcsuite/btcd,5100
bitcoinjs,bitcoinjs-lib,https://www.github.com/bitcoinjs/bitcoinjs-lib,4900
bitcoinj,bitcoinj,https://www.github.com/bitcoinj/bitcoinj,4800
bisq-network,bisq,https://www.github.com/bisq-network/bisq,4700
CryptoSignal,Crypto-Signal,https://www.github.com/CryptoSignal/Crypto-Signal,4600
michaelgrosner,tribeca,https://www.github.com/michaelgrosner/tribeca,4600
jesse-ai,jesse,https://www.github.com/jesse-ai/jesse,4600
coinpride,CryptoList,https://www.github.com/coinpride/CryptoList,4400
Scanate,EthList,https://www.github.com/Scanate/EthList,4100
RomelTorres,alpha_vantage,https://www.github.com/RomelTorres/alpha_vantage,4100
Zheaoli,awesome-coins,https://www.github.com/Zheaoli/awesome-coins,3800
bitpay,wallet,https://www.github.com/bitpay/wallet,3500
btcpayserver,btcpayserver,https://www.github.com/btcpayserver/btcpayserver,3500
Jeiwan,blockchain_go,https://www.github.com/Jeiwan/blockchain_go,3300
SqueezerIO,squeezer,https://www.github.com/SqueezerIO/squeezer,3200
cointop-sh,cointop,https://www.github.com/cointop-sh/cointop,3100
bitcoin-wallet,bitcoin-wallet,https://www.github.com/bitcoin-wallet/bitcoin-wallet,2800
