Username,Repo_Name,Repo_Url,Stars
ccxt,ccxt,https://www.github.com/ccxt/ccxt,80200
discordjs,discord.js,https://www.github.com/discordjs/discord.js,19800
python-telegram-bot,python-telegram-bot,https://www.github.com/python-telegram-bot/python-telegram-bot,17200
hubotio,hubot,https://www.github.com/hubotio/hubot,16100
InstaPy,InstaPy,https://www.github.com/InstaPy/InstaPy,13900
RasaHQ,rasa,https://www.github.com/RasaHQ/rasa,13000
wechaty,wechaty,https://www.github.com/wechaty/wechaty,12400
gunthercox,ChatterBot,https://www.github.com/gunthercox/ChatterBot,10900
howdyai,botkit,https://www.github.com/howdyai/botkit,9100
botpress,botpress,https://www.github.com/botpress/botpress,8400
tgbot-collection,YYeTsBot,https://www.github.com/tgbot-collection/YYeTsBot,7700
sfyc23,EverydayWechat,https://www.github.com/sfyc23/EverydayWechat,7100
leon-ai,leon,https://www.github.com/leon-ai/leon,6400
microsoft,ailab,https://www.github.com/microsoft/ailab,5100
EZFNDEV,EZFN-Lobbybot,https://www.github.com/EZFNDEV/EZFN-Lobbybot,4900
microsoft,botframework-sdk,https://www.github.com/microsoft/botframework-sdk,4800
maxbbraun,trump2cash,https://www.github.com/maxbbraun/trump2cash,4700
yagop,node-telegram-bot-api,https://www.github.com/yagop/node-telegram-bot-api,4600
deepmipt,DeepPavlov,https://www.github.com/deepmipt/DeepPavlov,4600
botman,botman,https://www.github.com/botman/botman,4600
telegraf,telegraf,https://www.github.com/telegraf/telegraf,4400
pedroslopez,whatsapp-web.js,https://www.github.com/pedroslopez/whatsapp-web.js,4100
axa-group,nlp.js,https://www.github.com/axa-group/nlp.js,4100
jef,streetmerchant,https://www.github.com/jef/streetmerchant,3800
Mrs4s,go-cqhttp,https://www.github.com/Mrs4s/go-cqhttp,3500
ohld,igbot,https://www.github.com/ohld/igbot,3500
Yoctol,bottender,https://www.github.com/Yoctol/bottender,3300
PokemonGoF,PokemonGo-Bot,https://www.github.com/PokemonGoF/PokemonGo-Bot,3200
chrisleekr,binance-trading-bot,https://www.github.com/chrisleekr/binance-trading-bot,3100
orkestral,venom,https://www.github.com/orkestral/venom,2800
