Username,Repo_Name,Repo_Url,Stars
CyC2018,CS-Notes,https://www.github.com/CyC2018/CS-Notes,80200
practical-tutorials,project-based-learning,https://www.github.com/practical-tutorials/project-based-learning,19800
azl397985856,leetcode,https://www.github.com/azl397985856/leetcode,17200
x64dbg,x64dbg,https://www.github.com/x64dbg/x64dbg,16100
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,13900
youngyangyang04,leetcode-master,https://www.github.com/youngyangyang04/leetcode-master,13000
microsoft,calculator,https://www.github.com/microsoft/calculator,12400
CMU-Perceptual-Computing-Lab,openpose,https://www.github.com/CMU-Perceptual-Computing-Lab/openpose,10900
huihut,interview,https://www.github.com/huihut/interview,9100
yuzu-emu,yuzu,https://www.github.com/yuzu-emu/yuzu,8400
TheAlgorithms,C-Plus-Plus,https://www.github.com/TheAlgorithms/C-Plus-Plus,7700
changkun,modern-cpp-tutorial,https://www.github.com/changkun/modern-cpp-tutorial,7100
ethereum,solidity,https://www.github.com/ethereum/solidity,6400
microsoft,vcpkg,https://www.github.com/microsoft/vcpkg,5100
catchorg,Catch2,https://www.github.com/catchorg/Catch2,4900
gabime,spdlog,https://www.github.com/gabime/spdlog,4800
AnthonyCalandra,modern-cpp-features,https://www.github.com/AnthonyCalandra/modern-cpp-features,4700
Qv2ray,Qv2ray,https://www.github.com/Qv2ray/Qv2ray,4600
doocs,leetcode,https://www.github.com/doocs/leetcode,4600
facebook,infer,https://www.github.com/facebook/infer,4600
ssloy,tinyrenderer,https://www.github.com/ssloy/tinyrenderer,4400
CoatiSoftware,Sourcetrail,https://www.github.com/CoatiSoftware/Sourcetrail,4100
google,tink,https://www.github.com/google/tink,4100
antlr,antlr4,https://www.github.com/antlr/antlr4,3800
kyleneideck,BackgroundMusic,https://www.github.com/kyleneideck/BackgroundMusic,3500
SFTtech,openage,https://www.github.com/SFTtech/openage,3500
compiler-explorer,compiler-explorer,https://www.github.com/compiler-explorer/compiler-explorer,3300
OpenRCT2,OpenRCT2,https://www.github.com/OpenRCT2/OpenRCT2,3200
Ciphey,Ciphey,https://www.github.com/Ciphey/Ciphey,3100
microsoft,IoT-For-Beginners,https://www.github.com/microsoft/IoT-For-Beginners,2800
