Username,Repo_Name,Repo_Url,Stars
Genymobile,scrcpy,https://www.github.com/Genymobile/scrcpy,80200
neovim,neovim,https://www.github.com/neovim/neovim,19800
git,git,https://www.github.com/git/git,17200
obsproject,obs-studio,https://www.github.com/obsproject/obs-studio,16100
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,13900
serhii-londar,open-source-mac-os-apps,https://www.github.com/serhii-londar/open-source-mac-os-apps,13000
FFmpeg,FFmpeg,https://www.github.com/FFmpeg/FFmpeg,12400
vim,vim,https://www.github.com/vim/vim,10900
curl,curl,https://www.github.com/curl/curl,9100
ggreer,the_silver_searcher,https://www.github.com/ggreer/the_silver_searcher,8400
huihut,interview,https://www.github.com/huihut/interview,7700
ruby,ruby,https://www.github.com/ruby/ruby,7100
mpv-player,mpv,https://www.github.com/mpv-player/mpv,6400
pbatard,rufus,https://www.github.com/pbatard/rufus,5100
google,flatbuffers,https://www.github.com/google/flatbuffers,4900
ossrs,srs,https://www.github.com/ossrs/srs,4800
oracle,graal,https://www.github.com/oracle/graal,4700
radareorg,radare2,https://www.github.com/radareorg/radare2,4600
microsoft,vcpkg,https://www.github.com/microsoft/vcpkg,4600
shadowsocks,shadowsocks-libev,https://www.github.com/shadowsocks/shadowsocks-libev,4600
allinurl,goaccess,https://www.github.com/allinurl/goaccess,4400
kovidgoyal,kitty,https://www.github.com/kovidgoyal/kitty,4100
jarun,nnn,https://www.github.com/jarun/nnn,4100
vurtun,nuklear,https://www.github.com/vurtun/nuklear,3800
facebook,infer,https://www.github.com/facebook/infer,3500
TheAlgorithms,C,https://www.github.com/TheAlgorithms/C,3500
CoatiSoftware,Sourcetrail,https://www.github.com/CoatiSoftware/Sourcetrail,3300
hashcat,hashcat,https://www.github.com/hashcat/hashcat,3200
qmk,qmk_firmware,https://www.github.com/qmk/qmk_firmware,3100
s-matyukevich,raspberry-pi-os,https://www.github.com/s-matyukevich/raspberry-pi-os,2800
