Username,Repo_Name,Repo_Url,Stars
electron,electron,https://www.github.com/electron/electron,80200
microsoft,playwright,https://www.github.com/microsoft/playwright,19800
FiloSottile,mkcert,https://www.github.com/FiloSottile/mkcert,17200
iamadamdev,bypass-paywalls-chrome,https://www.github.com/iamadamdev/bypass-paywalls-chrome,16100
ovity,octotree,https://www.github.com/ovity/octotree,13900
segmentio,nightmare,https://www.github.com/segmentio/nightmare,13000
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,12400
checkly,headless-recorder,https://www.github.com/checkly/headless-recorder,10900
prisma-archive,chromeless,https://www.github.com/prisma-archive/chromeless,9100
google,WebFundamentals,https://www.github.com/google/WebFundamentals,8400
casesandberg,react-color,https://www.github.com/casesandberg/react-color,7700
GoogleChrome,chrome-extensions-samples,https://www.github.com/GoogleChrome/chrome-extensions-samples,7100
crimx,ext-saladict,https://www.github.com/crimx/ext-saladict,6400
uBlock-LLC,uBlock,https://www.github.com/uBlock-LLC/uBlock,5100
gildas-lormeau,SingleFile,https://www.github.com/gildas-lormeau/SingleFile,4900
MetaMask,metamask-extension,https://www.github.com/MetaMask/metamask-extension,4800
chromedp,chromedp,https://www.github.com/chromedp/chromedp,4700
alvarcarto,url-to-pdf-api,https://www.github.com/alvarcarto/url-to-pdf-api,4600
kangvcar,InfoSpider,https://www.github.com/kangvcar/InfoSpider,4600
Kenshin,simpread,https://www.github.com/Kenshin/simpread,4600
yujiosaka,headless-chrome-crawler,https://www.github.com/yujiosaka/headless-chrome-crawler,4400
MontFerret,ferret,https://www.github.com/MontFerret/ferret,4100
firefox-devtools,debugger,https://www.github.com/firefox-devtools/debugger,4100
themerdev,themer,https://www.github.com/themerdev/themer,3800
burtonator,polar-bookshelf,https://www.github.com/burtonator/polar-bookshelf,3500
ajayyy,SponsorBlock,https://www.github.com/ajayyy/SponsorBlock,3500
nieweidong,fetool,https://www.github.com/nieweidong/fetool,3300
moonD4rk,HackBrowserData,https://www.github.com/moonD4rk/HackBrowserData,3200
browserless,chrome,https://www.github.com/browserless/chrome,3100
alyssaxuu,omni,https://www.github.com/alyssaxuu/omni,2800
