Username,Repo_Name,Repo_Url,Stars
ohmyzsh,ohmyzsh,https://www.github.com/ohmyzsh/ohmyzsh,80200
junegunn,fzf,https://www.github.com/junegunn/fzf,19800
sharkdp,bat,https://www.github.com/sharkdp/bat,17200
wagoodman,dive,https://www.github.com/wagoodman/dive,16100
sherlock-project,sherlock,https://www.github.com/sherlock-project/sherlock,13900
BurntSushi,ripgrep,https://www.github.com/BurntSushi/ripgrep,13000
google,zx,https://www.github.com/google/zx,12400
chubin,cheat.sh,https://www.github.com/chubin/cheat.sh,10900
cli,cli,https://www.github.com/cli/cli,9100
jesseduffield,lazygit,https://www.github.com/jesseduffield/lazygit,8400
spf13,cobra,https://www.github.com/spf13/cobra,7700
angular,angular-cli,https://www.github.com/angular/angular-cli,7100
alebcay,awesome-shell,https://www.github.com/alebcay/awesome-shell,6400
google,python-fire,https://www.github.com/google/python-fire,5100
tqdm,tqdm,https://www.github.com/tqdm/tqdm,4900
n8n-io,n8n,https://www.github.com/n8n-io/n8n,4800
sharkdp,fd,https://www.github.com/sharkdp/fd,4700
ibraheemdev,modern-unix,https://www.github.com/ibraheemdev/modern-unix,4600
vercel,pkg,https://www.github.com/vercel/pkg,4600
avajs,ava,https://www.github.com/avajs/ava,4600
chalk,chalk,https://www.github.com/chalk/chalk,4400
vadimdemedes,ink,https://www.github.com/vadimdemedes/ink,4100
urfave,cli,https://www.github.com/urfave/cli,4100
svg,svgo,https://www.github.com/svg/svgo,3800
gpakosz,.tmux,https://www.github.com/gpakosz/.tmux,3500
allinurl,goaccess,https://www.github.com/allinurl/goaccess,3500
FormidableLabs,webpack-dashboard,https://www.github.com/FormidableLabs/webpack-dashboard,3300
jarun,nnn,https://www.github.com/jarun/nnn,3200
infinitered,ignite,https://www.github.com/infinitered/ignite,3100
asdf-vm,asdf,https://www.github.com/asdf-vm/asdf,2800
