Username,Repo_Name,Repo_Url,Stars
localstack,localstack,https://www.github.com/localstack/localstack,80200
harness,drone,https://www.github.com/harness/drone,19800
jenkinsci,jenkins,https://www.github.com/jenkinsci/jenkins,17200
auchenberg,volkswagen,https://www.github.com/auchenberg/volkswagen,16100
openshift,origin,https://www.github.com/openshift/origin,13900
theonedev,onedev,https://www.github.com/theonedev/onedev,13000
gocd,gocd,https://www.github.com/gocd/gocd,12400
concourse,concourse,https://www.github.com/concourse/concourse,10900
buildbot,buildbot,https://www.github.com/buildbot/buildbot,9100
gaia-pipeline,gaia,https://www.github.com/gaia-pipeline/gaia,8400
Strider-CD,strider,https://www.github.com/Strider-CD/strider,7700
jenkins-x,jx,https://www.github.com/jenkins-x/jx,7100
ovh,cds,https://www.github.com/ovh/cds,6400
xcpretty,xcpretty,https://www.github.com/xcpretty/xcpretty,5100
hygieia,hygieia,https://www.github.com/hygieia/hygieia,4900
cake-build,cake,https://www.github.com/cake-build/cake,4800
iterative,cml,https://www.github.com/iterative/cml,4700
werf,werf,https://www.github.com/werf/werf,4600
ligurio,awesome-ci,https://www.github.com/ligurio/awesome-ci,4600
JamesIves,github-pages-deploy-action,https://www.github.com/JamesIves/github-pages-deploy-action,4600
tox-dev,tox,https://www.github.com/tox-dev/tox,4400
TheLartians,ModernCppStarter,https://www.github.com/TheLartians/ModernCppStarter,4100
dancryer,PHPCI,https://www.github.com/dancryer/PHPCI,4100
dreamans,syncd,https://www.github.com/dreamans/syncd,3800
shivammathur,setup-php,https://www.github.com/shivammathur/setup-php,3500
houndci,hound,https://www.github.com/houndci/hound,3500
fabric8io,fabric8,https://www.github.com/fabric8io/fabric8,3300
lastbackend,lastbackend,https://www.github.com/lastbackend/lastbackend,3200
Flagsmith,flagsmith,https://www.github.com/Flagsmith/flagsmith,3100
nuke-build,nuke,https://www.github.com/nuke-build/nuke,2800
