,Username,Repo_Name,Repo_Url,Stars
0,mrdoob,three.js,https://www.github.com/mrdoob/three.js,80200
1,libgdx,libgdx,https://www.github.com/libgdx/libgdx,19800
2,pmndrs,react-three-fiber,https://www.github.com/pmndrs/react-three-fiber,17200
3,BabylonJS,Babylon.js,https://www.github.com/BabylonJS/Babylon.js,16100
4,aframevr,aframe,https://www.github.com/aframevr/aframe,13900
5,ssloy,tinyrenderer,https://www.github.com/ssloy/tinyrenderer,12700
6,lettier,3d-game-shaders-for-beginners,https://www.github.com/lettier/3d-game-shaders-for-beginners,12400
7,FreeCAD,FreeCAD,https://www.github.com/FreeCAD/FreeCAD,10900
8,metafizzy,zdog,https://www.github.com/metafizzy/zdog,9100
9,CesiumGS,cesium,https://www.github.com/CesiumGS/cesium,8400
10,timzhang642,3D-Machine-Learning,https://www.github.com/timzhang642/3D-Machine-Learning,7700
11,a1studmuffin,SpaceshipGenerator,https://www.github.com/a1studmuffin/SpaceshipGenerator,7100
12,isl-org,Open3D,https://www.github.com/isl-org/Open3D,6300
13,blender,blender,https://www.github.com/blender/blender,5000
14,domlysz,BlenderGIS,https://www.github.com/domlysz/BlenderGIS,4900
15,spritejs,spritejs,https://www.github.com/spritejs/spritejs,4800
16,openscad,openscad,https://www.github.com/openscad/openscad,4700
17,tensorspace-team,tensorspace,https://www.github.com/tensorspace-team/tensorspace,4600
18,jagenjo,webglstudio.js,https://www.github.com/jagenjo/webglstudio.js,4600
19,YadiraF,PRNet,https://www.github.com/YadiraF/PRNet,4600
20,AaronJackson,vrn,https://www.github.com/AaronJackson/vrn,4400
21,ssloy,tinyraytracer,https://www.github.com/ssloy/tinyraytracer,4100
22,google,model-viewer,https://www.github.com/google/model-viewer,4100
23,mosra,magnum,https://www.github.com/mosra/magnum,3800
24,gfxfundamentals,webgl-fundamentals,https://www.github.com/gfxfundamentals/webgl-fundamentals,3500
25,FyroxEngine,Fyrox,https://www.github.com/FyroxEngine/Fyrox,3500
26,tengbao,vanta,https://www.github.com/tengbao/vanta,3300
27,cleardusk,3DDFA,https://www.github.com/cleardusk/3DDFA,3200
28,jasonlong,isometric-contributions,https://www.github.com/jasonlong/isometric-contributions,3100
29,cnr-isti-vclab,meshlab,https://www.github.com/cnr-isti-vclab/meshlab,2800
