Username,Repo_Name,Repo_Url,Stars
metafizzy,infinite-scroll,https://www.github.com/metafizzy/infinite-scroll,7100
ljianshu,Blog,https://www.github.com/ljianshu/Blog,7000
developit,unfetch,https://www.github.com/developit/unfetch,5300
jquery-form,form,https://www.github.com/jquery-form/form,5100
olifolkerd,tabulator,https://www.github.com/olifolkerd/tabulator,4500
Studio-42,elFinder,https://www.github.com/Studio-42/elFinder,4200
ded,reqwest,https://www.github.com/ded/reqwest,2900
dwyl,learn-to-send-email-via-google-script-html-no-server,https://www.github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2800
elbywan,wretch,https://www.github.com/elbywan/wretch,2400
LeaVerou,bliss,https://www.github.com/LeaVerou/bliss,2400
noelboss,featherlight,https://www.github.com/noelboss/featherlight,2000
wendux,Ajax-hook,https://www.github.com/wendux/Ajax-hook,2000
yisainan,web-interview,https://www.github.com/yisainan/web-interview,2000
craftpip,jquery-confirm,https://www.github.com/craftpip/jquery-confirm,1800
ptaoussanis,sente,https://www.github.com/ptaoussanis/sente,1600
joaomilho,Enterprise,https://www.github.com/joaomilho/Enterprise,1500
nette,tracy,https://www.github.com/nette/tracy,1500
u014427391,jeeplatform,https://www.github.com/u014427391/jeeplatform,1300
loadingio,css-spinner,https://www.github.com/loadingio/css-spinner,1300
MoOx,pjax,https://www.github.com/MoOx/pjax,1300
codingforentrepreneurs,eCommerce,https://www.github.com/codingforentrepreneurs/eCommerce,1200
danielm,uploader,https://www.github.com/danielm/uploader,1100
renderedtext,render_async,https://www.github.com/renderedtext/render_async,1000
swlib,saber,https://www.github.com/swlib/saber,947
proyecto26,RestClient,https://www.github.com/proyecto26/RestClient,879
k8w,tsrpc,https://www.github.com/k8w/tsrpc,868
webcreate,infinite-ajax-scroll,https://www.github.com/webcreate/infinite-ajax-scroll,849
opensource-socialnetwork,opensource-socialnetwork,https://www.github.com/opensource-socialnetwork/opensource-socialnetwork,847
rapidjs,rapid.js,https://www.github.com/rapidjs/rapid.js,708
csxiaoyaojianxian,JavaScriptStudy,https://www.github.com/csxiaoyaojianxian/JavaScriptStudy,599
