Username,Repo_Name,Repo_Url,Stars
amphp,amp,https://www.github.com/amphp/amp,3600
danog,MadelineProto,https://www.github.com/danog/MadelineProto,1900
amphp,http-server,https://www.github.com/amphp/http-server,1200
unreal4u,telegram-api,https://www.github.com/unreal4u/telegram-api,695
amphp,http-client,https://www.github.com/amphp/http-client,600
amphp,parallel,https://www.github.com/amphp/parallel,570
php-service-bus,service-bus,https://www.github.com/php-service-bus/service-bus,316
amphp,byte-stream,https://www.github.com/amphp/byte-stream,277
amphp,mysql,https://www.github.com/amphp/mysql,268
amphp,parallel-functions,https://www.github.com/amphp/parallel-functions,220
amphp,process,https://www.github.com/amphp/process,163
amphp,socket,https://www.github.com/amphp/socket,153
amphp,redis,https://www.github.com/amphp/redis,121
amphp,dns,https://www.github.com/amphp/dns,110
kelunik,acme,https://www.github.com/kelunik/acme,106
amphp,sync,https://www.github.com/amphp/sync,100
amphp,websocket-client,https://www.github.com/amphp/websocket-client,97
PeeHaa,mailgrab,https://www.github.com/PeeHaa/mailgrab,91
amphp,websocket-server,https://www.github.com/amphp/websocket-server,75
amphp,file,https://www.github.com/amphp/file,72
jolicode,asynit,https://www.github.com/jolicode/asynit,68
amphp,cache,https://www.github.com/amphp/cache,66
amphp,serialization,https://www.github.com/amphp/serialization,65
amphp,postgres,https://www.github.com/amphp/postgres,64
amphp,windows-registry,https://www.github.com/amphp/windows-registry,61
amphp,hpack,https://www.github.com/amphp/hpack,60
amphp,beanstalk,https://www.github.com/amphp/beanstalk,57
phpinnacle,ridge,https://www.github.com/phpinnacle/ridge,45
amphp,aerys,https://www.github.com/amphp/aerys,42
amphp,cluster,https://www.github.com/amphp/cluster,41
