Username,Repo_Name,Repo_Url,Stars
justjavac,free-programming-books-zh_CN,https://www.github.com/justjavac/free-programming-books-zh_CN,88300
angular,angular,https://www.github.com/angular/angular,80300
storybookjs,storybook,https://www.github.com/storybookjs/storybook,69400
leonardomso,33-js-concepts,https://www.github.com/leonardomso/33-js-concepts,47800
ionic-team,ionic-framework,https://www.github.com/ionic-team/ionic-framework,46600
prettier,prettier,https://www.github.com/prettier/prettier,42200
SheetJS,sheetjs,https://www.github.com/SheetJS/sheetjs,29400
angular,angular-cli,https://www.github.com/angular/angular-cli,25300
angular,components,https://www.github.com/angular/components,22600
NativeScript,NativeScript,https://www.github.com/NativeScript/NativeScript,21000
jhipster,generator-jhipster,https://www.github.com/jhipster/generator-jhipster,19400
pubkey,rxdb,https://www.github.com/pubkey/rxdb,17100
handsontable,handsontable,https://www.github.com/handsontable/handsontable,16400
teambit,bit,https://www.github.com/teambit/bit,14900
goldbergyoni,javascript-testing-best-practices,https://www.github.com/goldbergyoni/javascript-testing-best-practices,14700
sweetalert2,sweetalert2,https://www.github.com/sweetalert2/sweetalert2,14300
linnovate,mean,https://www.github.com/linnovate/mean,12100
nrwl,nx,https://www.github.com/nrwl/nx,11400
codesandbox,codesandbox-client,https://www.github.com/codesandbox/codesandbox-client,11300
Chocobozzz,PeerTube,https://www.github.com/Chocobozzz/PeerTube,10500
PatrickJS,angular-starter,https://www.github.com/PatrickJS/angular-starter,10400
sudheerj,javascript-interview-questions,https://www.github.com/sudheerj/javascript-interview-questions,8800
angular,protractor,https://www.github.com/angular/protractor,8800
OnsenUI,OnsenUI,https://www.github.com/OnsenUI/OnsenUI,8600
dotansimha,graphql-code-generator,https://www.github.com/dotansimha/graphql-code-generator,8500
PatrickJS,awesome-angular,https://www.github.com/PatrickJS/awesome-angular,8300
text-mask,text-mask,https://www.github.com/text-mask/text-mask,8100
ag-grid,ag-grid,https://www.github.com/ag-grid/ag-grid,8100
jasontaylordev,CleanArchitecture,https://www.github.com/jasontaylordev/CleanArchitecture,8100
NG-ZORRO,ng-zorro-antd,https://www.github.com/NG-ZORRO/ng-zorro-antd,8100
