Username,Repo_Name,Repo_Url,Stars
ansible,ansible,https://www.github.com/ansible/ansible,52500
trailofbits,algo,https://www.github.com/trailofbits/algo,25000
StreisandEffect,streisand,https://www.github.com/StreisandEffect/streisand,22700
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,21700
kubernetes-sigs,kubespray,https://www.github.com/kubernetes-sigs/kubespray,12000
ansible,awx,https://www.github.com/ansible/awx,10800
easzlab,kubeasz,https://www.github.com/easzlab/kubeasz,7900
geerlingguy,ansible-for-devops,https://www.github.com/geerlingguy/ansible-for-devops,5600
khuedoan,homelab,https://www.github.com/khuedoan/homelab,5500
ansible-semaphore,semaphore,https://www.github.com/ansible-semaphore/semaphore,4800
rundeck,rundeck,https://www.github.com/rundeck/rundeck,4500
Tikam02,DevOps-Guide,https://www.github.com/Tikam02/DevOps-Guide,4400
geerlingguy,mac-dev-playbook,https://www.github.com/geerlingguy/mac-dev-playbook,4400
KubeOperator,KubeOperator,https://www.github.com/KubeOperator/KubeOperator,4200
MichaelCade,90DaysOfDevOps,https://www.github.com/MichaelCade/90DaysOfDevOps,3600
clong,DetectionLab,https://www.github.com/clong/DetectionLab,3400
ansible-community,molecule,https://www.github.com/ansible-community/molecule,3300
opendevops-cn,opendevops,https://www.github.com/opendevops-cn/opendevops,3100
werf,werf,https://www.github.com/werf/werf,3000
netbootxyz,netboot.xyz,https://www.github.com/netbootxyz/netboot.xyz,2900
welliamcao,OpsManage,https://www.github.com/welliamcao/OpsManage,2900
ansible-community,ansible-lint,https://www.github.com/ansible-community/ansible-lint,2700
dev-sec,ansible-collection-hardening,https://www.github.com/dev-sec/ansible-collection-hardening,2700
alixaxel,chrome-aws-lambda,https://www.github.com/alixaxel/chrome-aws-lambda,2600
litmuschaos,litmus,https://www.github.com/litmuschaos/litmus,2600
roots,trellis,https://www.github.com/roots/trellis,2300
ansistrano,deploy,https://www.github.com/ansistrano/deploy,2200
openshift,openshift-ansible,https://www.github.com/openshift/openshift-ansible,2100
fboender,ansible-cmdb,https://www.github.com/fboender/ansible-cmdb,2000
pytest-dev,pytest-testinfra,https://www.github.com/pytest-dev/pytest-testinfra,2000
