Username,Repo_Name,Repo_Url,Stars
arendst,Tasmota,https://www.github.com/arendst/Tasmota,17300
MarlinFirmware,Marlin,https://www.github.com/MarlinFirmware/Marlin,12800
arduino,Arduino,https://www.github.com/arduino/Arduino,12700
rwaldron,johnny-five,https://www.github.com/rwaldron/johnny-five,12600
SpacehuhnTech,esp8266_deauther,https://www.github.com/SpacehuhnTech/esp8266_deauther,9700
tinygo-org,tinygo,https://www.github.com/tinygo-org/tinygo,9600
espressif,arduino-esp32,https://www.github.com/espressif/arduino-esp32,8300
hybridgroup,gobot,https://www.github.com/hybridgroup/gobot,7600
gurugio,lowlevelprogramming-university,https://www.github.com/gurugio/lowlevelprogramming-university,7400
platformio,platformio-core,https://www.github.com/platformio/platformio-core,5700
bblanchon,ArduinoJson,https://www.github.com/bblanchon/ArduinoJson,5600
tzapu,WiFiManager,https://www.github.com/tzapu/WiFiManager,5100
hybridgroup,cylon,https://www.github.com/hybridgroup/cylon,3900
Arduino-IRremote,Arduino-IRremote,https://www.github.com/Arduino-IRremote/Arduino-IRremote,3600
blynkkk,blynk-library,https://www.github.com/blynkkk/blynk-library,3400
arduino,arduino-cli,https://www.github.com/arduino/arduino-cli,3300
NectarJS,nectarjs,https://www.github.com/NectarJS/nectarjs,3200
olikraus,u8g2,https://www.github.com/olikraus/u8g2,2900
gioblu,PJON,https://www.github.com/gioblu/PJON,2600
1technophile,OpenMQTTGateway,https://www.github.com/1technophile/OpenMQTTGateway,2500
Serial-Studio,Serial-Studio,https://www.github.com/Serial-Studio/Serial-Studio,2300
scottlawsonbc,audio-reactive-led-strip,https://www.github.com/scottlawsonbc/audio-reactive-led-strip,2300
isl-org,OpenBot,https://www.github.com/isl-org/OpenBot,2100
scottbez1,splitflap,https://www.github.com/scottbez1/splitflap,2100
crankyoldgit,IRremoteESP8266,https://www.github.com/crankyoldgit/IRremoteESP8266,2100
nRF24,RF24,https://www.github.com/nRF24/RF24,1900
stm32duino,Arduino_Core_STM32,https://www.github.com/stm32duino/Arduino_Core_STM32,1800
Bodmer,TFT_eSPI,https://www.github.com/Bodmer/TFT_eSPI,1800
blinker-iot,blinker-library,https://www.github.com/blinker-iot/blinker-library,1700
ThingPulse,esp8266-oled-ssd1306,https://www.github.com/ThingPulse/esp8266-oled-ssd1306,1600
