Username,Repo_Name,Repo_Url,Stars
atom,atom,https://www.github.com/atom/atom,57100
themerdev,themer,https://www.github.com/themerdev/themer,4600
nteract,hydrogen,https://www.github.com/nteract/hydrogen,3800
shd101wyy,markdown-preview-enhanced,https://www.github.com/shd101wyy/markdown-preview-enhanced,3600
miniflux,v2,https://www.github.com/miniflux/v2,3400
atom,teletype,https://www.github.com/atom/teletype,2400
mehcode,awesome-atom,https://www.github.com/mehcode/awesome-atom,1900
mmcdole,gofeed,https://www.github.com/mmcdole/gofeed,1800
joefitzgerald,go-plus,https://www.github.com/joefitzgerald/go-plus,1500
Glavin001,atom-beautify,https://www.github.com/Glavin001/atom-beautify,1500
simplepie,simplepie,https://www.github.com/simplepie/simplepie,1400
t9md,atom-vim-mode-plus,https://www.github.com/t9md/atom-vim-mode-plus,1400
kurtmckee,feedparser,https://www.github.com/kurtmckee/feedparser,1400
ocaml,merlin,https://www.github.com/ocaml/merlin,1400
MagicStack,MagicPython,https://www.github.com/MagicStack/MagicPython,1300
atom,apm,https://www.github.com/atom/apm,1200
file-icons,atom,https://www.github.com/file-icons/atom,1200
kettanaito,atomic-layout,https://www.github.com/kettanaito/atomic-layout,1100
atom,github,https://www.github.com/atom/github,1000
nmdias,FeedKit,https://www.github.com/nmdias/FeedKit,967
nathanbuchar,atom-one-dark-terminal,https://www.github.com/nathanbuchar/atom-one-dark-terminal,951
danhper,atomic-chrome,https://www.github.com/danhper/atomic-chrome,928
jesseweed,seti-ui,https://www.github.com/jesseweed/seti-ui,891
fwcd,kotlin-language-server,https://www.github.com/fwcd/kotlin-language-server,889
prettier,prettier-atom,https://www.github.com/prettier/prettier-atom,773
raphamorim,lucario,https://www.github.com/raphamorim/lucario,741
jpmonette,feed,https://www.github.com/jpmonette/feed,736
atom-community,atom-script,https://www.github.com/atom-community/atom-script,735
jasonmunro,cypht,https://www.github.com/jasonmunro/cypht,704
jekyll,jekyll-feed,https://www.github.com/jekyll/jekyll-feed,696
