Username,Repo_Name,Repo_Url,Stars
sindresorhus,awesome,https://www.github.com/sindresorhus/awesome,194000
vinta,awesome-python,https://www.github.com/vinta/awesome-python,121000
awesome-selfhosted,awesome-selfhosted,https://www.github.com/awesome-selfhosted/awesome-selfhosted,80600
avelino,awesome-go,https://www.github.com/avelino/awesome-go,77200
trimstray,the-book-of-secret-knowledge,https://www.github.com/trimstray/the-book-of-secret-knowledge,62900
papers-we-love,papers-we-love,https://www.github.com/papers-we-love/papers-we-love,53500
521xueweihan,HelloGitHub,https://www.github.com/521xueweihan/HelloGitHub,53200
Hack-with-Github,Awesome-Hacking,https://www.github.com/Hack-with-Github/Awesome-Hacking,50000
jaywcjlove,awesome-mac,https://www.github.com/jaywcjlove/awesome-mac,48300
DopplerHQ,awesome-interview-questions,https://www.github.com/DopplerHQ/awesome-interview-questions,45500
sindresorhus,awesome-nodejs,https://www.github.com/sindresorhus/awesome-nodejs,44100
wasabeef,awesome-android-ui,https://www.github.com/wasabeef/awesome-android-ui,42300
Solido,awesome-flutter,https://www.github.com/Solido/awesome-flutter,39800
prakhar1989,awesome-courses,https://www.github.com/prakhar1989/awesome-courses,39500
MunGell,awesome-for-beginners,https://www.github.com/MunGell/awesome-for-beginners,39200
vsouza,awesome-ios,https://www.github.com/vsouza/awesome-ios,39200
binhnguyennus,awesome-scalability,https://www.github.com/binhnguyennus/awesome-scalability,37700
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,36300
tiimgreen,github-cheat-sheet,https://www.github.com/tiimgreen/github-cheat-sheet,34000
dypsilon,frontend-dev-bookmarks,https://www.github.com/dypsilon/frontend-dev-bookmarks,33300
akullpp,awesome-java,https://www.github.com/akullpp/awesome-java,31600
serhii-londar,open-source-mac-os-apps,https://www.github.com/serhii-londar/open-source-mac-os-apps,29800
dkhamsing,open-source-ios-apps,https://www.github.com/dkhamsing/open-source-ios-apps,29700
brillout,awesome-react-components,https://www.github.com/brillout/awesome-react-components,29300
ziadoz,awesome-php,https://www.github.com/ziadoz/awesome-php,26300
herrbischoff,awesome-macos-command-line,https://www.github.com/herrbischoff/awesome-macos-command-line,25600
rust-unofficial,awesome-rust,https://www.github.com/rust-unofficial/awesome-rust,24800
goabstract,Awesome-Design-Tools,https://www.github.com/goabstract/Awesome-Design-Tools,24000
alebcay,awesome-shell,https://www.github.com/alebcay/awesome-shell,23100
sindresorhus,awesome-electron,https://www.github.com/sindresorhus/awesome-electron,22500
