Username,Repo_Name,Repo_Url,Stars
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,21700
microsoft,recommenders,https://www.github.com/microsoft/recommenders,12600
ramitsurana,awesome-kubernetes,https://www.github.com/ramitsurana/awesome-kubernetes,12600
pulumi,pulumi,https://www.github.com/pulumi/pulumi,11800
Azure,azure-quickstart-templates,https://www.github.com/Azure/azure-quickstart-templates,11600
mozilla,sops,https://www.github.com/mozilla/sops,9300
microsoft,computervision-recipes,https://www.github.com/microsoft/computervision-recipes,8400
caprover,caprover,https://www.github.com/caprover/caprover,8300
google,go-cloud,https://www.github.com/google/go-cloud,8300
microsoft,azuredatastudio,https://www.github.com/microsoft/azuredatastudio,6700
node-formidable,formidable,https://www.github.com/node-formidable/formidable,6100
infracost,infracost,https://www.github.com/infracost/infracost,5600
midwayjs,midway,https://www.github.com/midwayjs/midway,5400
thangchung,clean-code-dotnet,https://www.github.com/thangchung/clean-code-dotnet,4800
budtmo,docker-android,https://www.github.com/budtmo/docker-android,4300
aquasecurity,tfsec,https://www.github.com/aquasecurity/tfsec,4100
nccgroup,ScoutSuite,https://www.github.com/nccgroup/ScoutSuite,4100
cloud-custodian,cloud-custodian,https://www.github.com/cloud-custodian/cloud-custodian,4100
bridgecrewio,checkov,https://www.github.com/bridgecrewio/checkov,3900
Azure,autorest,https://www.github.com/Azure/autorest,3700
simov,grant,https://www.github.com/simov/grant,3600
Azure,azure-sdk-for-net,https://www.github.com/Azure/azure-sdk-for-net,3400
microsoft,SynapseML,https://www.github.com/microsoft/SynapseML,3200
hashicorp,terraform-provider-azurerm,https://www.github.com/hashicorp/terraform-provider-azurerm,3200
Azure,azure-powershell,https://www.github.com/Azure/azure-powershell,3000
Azure,azure-cli,https://www.github.com/Azure/azure-cli,3000
Azure,MachineLearningNotebooks,https://www.github.com/Azure/MachineLearningNotebooks,2900
mlabouardy,komiser,https://www.github.com/mlabouardy/komiser,2700
APIs-guru,openapi-directory,https://www.github.com/APIs-guru/openapi-directory,2700
Azure,azure-sdk-for-python,https://www.github.com/Azure/azure-sdk-for-python,2600
