Username,Repo_Name,Repo_Url,Stars
metabase,metabase,https://www.github.com/metabase/metabase,27800
eclipse,deeplearning4j,https://www.github.com/eclipse/deeplearning4j,12400
logseq,logseq,https://www.github.com/logseq/logseq,11800
LightTable,LightTable,https://www.github.com/LightTable/LightTable,11700
penpot,penpot,https://www.github.com/penpot/penpot,9300
kanaka,mal,https://www.github.com/kanaka/mal,8500
lk-geimfari,awesomo,https://www.github.com/lk-geimfari/awesomo,8300
tonsky,datascript,https://www.github.com/tonsky/datascript,4600
reagent-project,reagent,https://www.github.com/reagent-project/reagent,4400
riemann,riemann,https://www.github.com/riemann/riemann,4100
weavejester,compojure,https://www.github.com/weavejester/compojure,3900
bbatsov,clojure-style-guide,https://www.github.com/bbatsov/clojure-style-guide,3800
izhangzhihao,intellij-rainbow-brackets,https://www.github.com/izhangzhihao/intellij-rainbow-brackets,3700
ring-clojure,ring,https://www.github.com/ring-clojure/ring,3400
status-im,status-react,https://www.github.com/status-im/status-react,3400
clojure-emacs,cider,https://www.github.com/clojure-emacs/cider,3300
viebel,klipse,https://www.github.com/viebel/klipse,2900
bhauman,lein-figwheel,https://www.github.com/bhauman/lein-figwheel,2900
tallesl,Rich-Hickey-fanclub,https://www.github.com/tallesl/Rich-Hickey-fanclub,2800
babashka,babashka,https://www.github.com/babashka/babashka,2600
twosigma,beakerx,https://www.github.com/twosigma/beakerx,2600
pedestal,pedestal,https://www.github.com/pedestal/pedestal,2500
clj-commons,aleph,https://www.github.com/clj-commons/aleph,2400
weavejester,hiccup,https://www.github.com/weavejester/hiccup,2400
razum2um,awesome-clojure,https://www.github.com/razum2um/awesome-clojure,2300
http-kit,http-kit,https://www.github.com/http-kit/http-kit,2300
defold,defold,https://www.github.com/defold/defold,2100
onyx-platform,onyx,https://www.github.com/onyx-platform/onyx,2000
anmonteiro,lumo,https://www.github.com/anmonteiro/lumo,1900
xtdb,xtdb,https://www.github.com/xtdb/xtdb,1800
