Username,Repo_Name,Repo_Url,Stars
realm,SwiftLint,https://www.github.com/realm/SwiftLint,15900
facebook,infer,https://www.github.com/facebook/infer,13100
analysis-tools-dev,static-analysis,https://www.github.com/analysis-tools-dev/static-analysis,9700
checkstyle,checkstyle,https://www.github.com/checkstyle/checkstyle,6900
SonarSource,sonarqube,https://www.github.com/SonarSource/sonarqube,6600
Kristories,awesome-guidelines,https://www.github.com/Kristories/awesome-guidelines,6500
facebook,pyre-check,https://www.github.com/facebook/pyre-check,5800
reviewdog,reviewdog,https://www.github.com/reviewdog/reviewdog,4800
simplecov-ruby,simplecov,https://www.github.com/simplecov-ruby/simplecov,4400
detekt,detekt,https://www.github.com/detekt/detekt,4400
import-js,eslint-plugin-import,https://www.github.com/import-js/eslint-plugin-import,3900
PyCQA,pylint,https://www.github.com/PyCQA/pylint,3900
pmd,pmd,https://www.github.com/pmd/pmd,3800
phpro,grumphp,https://www.github.com/phpro/grumphp,3700
htmlhint,HTMLHint,https://www.github.com/htmlhint/HTMLHint,2800
kucherenko,jscpd,https://www.github.com/kucherenko/jscpd,2500
codeclimate,codeclimate,https://www.github.com/codeclimate/codeclimate,2300
trekhleb,state-of-the-art-shitcode,https://www.github.com/trekhleb/state-of-the-art-shitcode,2300
uber,piranha,https://www.github.com/uber/piranha,1900
wemake-services,wemake-python-styleguide,https://www.github.com/wemake-services/wemake-python-styleguide,1800
ehmicky,cross-platform-node-guide,https://www.github.com/ehmicky/cross-platform-node-guide,1200
Tencent,feflow,https://www.github.com/Tencent/feflow,1100
urish,typewiz,https://www.github.com/urish/typewiz,1100
Tencent,CodeAnalysis,https://www.github.com/Tencent/CodeAnalysis,1000
jakzal,phpqa,https://www.github.com/jakzal/phpqa,998
imgbot,Imgbot,https://www.github.com/imgbot/Imgbot,876
joshuaclayton,unused,https://www.github.com/joshuaclayton/unused,875
SonarSource,SonarJS,https://www.github.com/SonarSource/SonarJS,792
pdepend,pdepend,https://www.github.com/pdepend/pdepend,786
SonarSource,SonarTS,https://www.github.com/SonarSource/SonarTS,767
