Username,Repo_Name,Repo_Url,Stars
ovity,octotree,https://www.github.com/ovity/octotree,21900
gitpod-io,gitpod,https://www.github.com/gitpod-io/gitpod,7400
reviewdog,reviewdog,https://www.github.com/reviewdog/reviewdog,4800
danger,danger,https://www.github.com/danger/danger,4800
danger,danger-js,https://www.github.com/danger/danger-js,4300
joho,awesome-code-review,https://www.github.com/joho/awesome-code-review,3300
ajinabraham,nodejsscan,https://www.github.com/ajinabraham/nodejsscan,1900
houndci,hound,https://www.github.com/houndci/hound,1900
mbj,mutant,https://www.github.com/mbj/mutant,1800
microsoft,vscode-pull-request-github,https://www.github.com/microsoft/vscode-pull-request-github,1800
crev-dev,cargo-crev,https://www.github.com/crev-dev/cargo-crev,1500
reviewboard,reviewboard,https://www.github.com/reviewboard/reviewboard,1400
ryanmcdermott,code-review-tips,https://www.github.com/ryanmcdermott/code-review-tips,1100
bit4woo,python_sec,https://www.github.com/bit4woo/python_sec,1100
Tencent,CodeAnalysis,https://www.github.com/Tencent/CodeAnalysis,1000
code-review-checklists,java-concurrency,https://www.github.com/code-review-checklists/java-concurrency,1000
jiangsir404,Audit-Learning,https://www.github.com/jiangsir404/Audit-Learning,830
TeamCodeStream,codestream,https://www.github.com/TeamCodeStream/codestream,757
enlightn,enlightn,https://www.github.com/enlightn/enlightn,631
palantir,policy-bot,https://www.github.com/palantir/policy-bot,464
bsamseth,cpp-project,https://www.github.com/bsamseth/cpp-project,453
uwolfer,gerrit-intellij-plugin,https://www.github.com/uwolfer/gerrit-intellij-plugin,434
mookid,diffr,https://www.github.com/mookid/diffr,416
mgreiler,code-review-checklist,https://www.github.com/mgreiler/code-review-checklist,402
JetBrains,Qodana,https://www.github.com/JetBrains/Qodana,347
dpnishant,raptor,https://www.github.com/dpnishant/raptor,329
sjparkinson,static-review,https://www.github.com/sjparkinson/static-review,325
wandersoncferreira,code-review,https://www.github.com/wandersoncferreira/code-review,298
burrito-brothers,shiba,https://www.github.com/burrito-brothers/shiba,289
charignon,github-review,https://www.github.com/charignon/github-review,277
