Username,Repo_Name,Repo_Url,Stars
vercel,next.js,https://www.github.com/vercel/next.js,83400
rust-lang,rust,https://www.github.com/rust-lang/rust,64500
webpack,webpack,https://www.github.com/webpack/webpack,60700
sveltejs,svelte,https://www.github.com/sveltejs/svelte,56800
gatsbyjs,gatsby,https://www.github.com/gatsbyjs/gatsby,52600
JetBrains,kotlin,https://www.github.com/JetBrains/kotlin,40700
babel,babel,https://www.github.com/babel/babel,40600
parcel-bundler,parcel,https://www.github.com/parcel-bundler/parcel,40400
evanw,esbuild,https://www.github.com/evanw/esbuild,31000
vlang,v,https://www.github.com/vlang/v,27200
markedjs,marked,https://www.github.com/markedjs/marked,27200
swc-project,swc,https://www.github.com/swc-project/swc,21100
vercel,pkg,https://www.github.com/vercel/pkg,19900
v8,v8,https://www.github.com/v8/v8,19200
AssemblyScript,assemblyscript,https://www.github.com/AssemblyScript/assemblyscript,13600
ziglang,zig,https://www.github.com/ziglang/zig,12900
Konloch,bytecode-viewer,https://www.github.com/Konloch/bytecode-viewer,12800
nim-lang,Nim,https://www.github.com/nim-lang/Nim,12600
gopherjs,gopherjs,https://www.github.com/gopherjs/gopherjs,11000
RustPython,RustPython,https://www.github.com/RustPython/RustPython,10900
compiler-explorer,compiler-explorer,https://www.github.com/compiler-explorer/compiler-explorer,10400
goplus,gop,https://www.github.com/goplus/gop,8000
apache,tvm,https://www.github.com/apache/tvm,7900
numba,numba,https://www.github.com/numba/numba,7400
JetBrains,kotlin-native,https://www.github.com/JetBrains/kotlin-native,7100
elm,compiler,https://www.github.com/elm/compiler,6800
aalhour,awesome-compilers,https://www.github.com/aalhour/awesome-compilers,6600
Nuitka,Nuitka,https://www.github.com/Nuitka/Nuitka,6500
DoctorWkt,acwj,https://www.github.com/DoctorWkt/acwj,6200
rescript-lang,rescript-compiler,https://www.github.com/rescript-lang/rescript-compiler,5700
